"%1 does not fit the entered date format.","""%1"" nie pasuje do wpisanego formatu daty."
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nie rozszerza \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nie rozszerza \Magento\Checkout\CustomerData\ItemInterface"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 nie rozszerza \Magento\Customer\CustomerData\SectionSourceInterface"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nie rozszerza \Magento\Framework\Filter\Template"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nie rozszerza \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nie rozszerza \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nie rozszerza \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nie rozszerza \Magento\Catalog\Model\Product\Type\Price"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nie rozszerza \Magento\Framework\Model\AbstractModel"
"%1 doesn't implement SortInterface","%1 nie zaimplementowano SortInterface"
"%1 email(s) were sent.","Wysłano: %1 wiadomości e-mail."
"%1 exceeds the allowed file size.","""%1"" przekracza dozwoloną wielkość pliku."
"%1 filter","Filtr %1"
"%1 for ""%2"".","%1 na ""%2""."
"%1 for %2","%1 dla %2"
"%1 has been added to your Wish List.","Produkt %1 został dodany do listy życzeń."
"%1 has been moved to your wish list.","%1 został przeniesiony do Twojej listy życzeń."
"%1 has been updated in your Wish List.","%1 został zaktualizowany na liście życzeń."
"%1 has reached a quantity of %2.","%1 osiągnął ilość %2."
"%1 height exceeds allowed value of %2 px.","Wysokość ""%1"" przekracza dozwoloną wartość %2 px."
"%1 index is locked by another reindex process. Skipping.","%1 indeks jest zablokowany przez inny proces indeksowania. Pomijam."
"%1 indexer(s) are in Update by Schedule"" mode.""","%1 indeks(ów) jest w tryby ""Zaplanowanej aktualizacji""."
"%1 indexer(s) are in Update on Save"" mode.""","%1 indeks(ów) jest w trybie ""Aktualizacji po zapisie""."
"%1 invalid type entered.","""%1"" wpisany nieprawidłowy typ."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 zaproszenia nie zostały wysłane, bo rachunki klientów już istnieje dla tych adresów e-mail."
"%1 is a required value.","""%1"" jest polem wymaganym."
"%1 is already present in %2.","""%1"" jest już obecny w %2."
"%1 is an empty string.","""%1"" jest pustym ciągiem znaków."
"%1 is available to buy in increments of %2","%1 jest do kupienia w przyrostach co %2"
"%1 is longer than allowed.","""%1"" jest dłuższa niż dozwolono."
"%1 is not a correct comparison method.","%1 nie jest poprawną metodą porównania."
"%1 is not a valid URL.","""%1"" nie jest poprawnym adresem URL."
"%1 is not a valid date.","""%1"" nie jest prawidłową datą."
"%1 is not a valid email address.","""%1"" nie jest prawidłowym adresem e-mail."
"%1 is not a valid file extension.","""%1"" nie jest prawidłowym rozszerzeniem pliku."
"%1 is not a valid file.","""%1"" nie jest prawidłowym plikiem."
"%1 is not a valid hostname.","""%1"" nie jest prawidłową nazwą hosta."
"%1 is not a valid image format","""%1"" nie jest prawidłowym formatem obraz"
"%1 is not a valid image format.","""%1"" nie jest prawidłowym formatem pliku obrazu."
"%1 is required","Pole %1 jest wymagane"
"%1 is required""","%1 jest wymagane"
"%1 is required.","%1 jest wymagane."
"%1 item","%1 produkt"
"%1 item(s) are currently being updated.","%1 elementy są obecnie aktualizowane."
"%1 item(s) failed to update","elementy %1 nie powiodła się aktualizacja"
"%1 item(s) have been added to the gift registry.","%1 produkt(y) zostały dodane do rejestru prezentów."
"%1 item(s) have been scheduled for update.","%1 elementy zostały zaplanowane do aktualizacji.""."
"%1 item(s) have been successfully updated.","%1 elementy zostały pomyślnie zaktualizowane."
"%1 item(s) need your attention.","Produkty wymagające sprawdzenia: %1."
"%1 items","%1 produktów"
"%1 items are already present in %2: %3.","%1 produkty są już obecne w %2: %3."
"%1 items cannot be moved: %2.","Produkty %1 nie mogą być przeniesione: %2."
"%1 items in wish list","%1 produktów na liście życzeń"
"%1 items selected for mass update","%1 elementy wybrane do masowej aktualizacji"
"%1 items were copied to %2: %3.","%1 produkty zostały skopiowane do %2: %3."
"%1 items were moved to %2: %3.","%1 produkty zostały przeniesione do %2: %3."
"%1 length must be equal or greater than %2 characters.","""%1"" długość musi być równa lub większa niż %2 znaków."
"%1 length must be equal or less than %2 characters.","""%1"" długość musi być równa lub mniejsza niż %2 znaków."
"%1 order(s) cannot be canceled.","%1 zamówień nie może być anulowanych."
"%1 order(s) have been released from on hold status.","%1 zamówień zostało uwolnionych ze statusu ""wstrzymano""."
"%1 order(s) were not put on hold.","%1 zamówień nie zostało wstrzymanych."
"%1 order(s) were not released from on hold status.","%1 zamówień nie zostało uwolnionych ze statusu ""wstrzymano""."
"%1 product requires your attention.","Produkty wymagające sprawdzenia: %1."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt(y) został dodany do koszyka: %2."
"%1 products available in filter","%1 produktów dostępnych w filtrze"
"%1 products require your attention.","Produkty wymagające sprawdzenia: %1."
"%1 rating. %2 out of %3 stars","Ocena: %1. %2 na %3 gwiazdek"
"%1 rating. %2 out of %3 stars. Click to go to reviews.","Ocena: %1. %2 na %3 gwiazdek. Kliknij, aby przejść do opinii."
"%1 spent = %2 earned","%1 wydane = %2 zyskane"
"%1 stars","%1 gwiazdek"
"%1 store reward points available","%1 punktów lojalnościowych sklepu dostępne"
"%1 store reward points available (%2)","%1 punktów lojalnościowych sklepu dostępne (%2)"
"%1 uses too many characters.","""%1"" używa zbyt wiele znaków."
"%1 was copied to %2.","""%1"" został skopiowany do %2."
"%1 was deducted because of refund.","%1 zostało odliczonych z powodu zwrotu."
"%1 was moved to %2.","""%1"" zostało przeniesione do %2."
"%1 was updated in your shopping cart.","%1 został zaktualizowany w Twoim koszyku."
"%1 width exceeds allowed value of %2 px.","""%1"" szerokość przekracza dozwoloną wartość %2 px."
"%1 with %2 discount each","%1 z %2 zniżki na każdym"
"%1 zipcode, %1","%1 kod pocztowy, %1"
"%1's Wish List","Lista życzeń %1"
"%1's Wish List (%2)","%1 listy życzeń (%2)"
"%1's Wishlist","Schowek %1"
"%company_name account reimbursed","%company_name konto zostało rozliczone"
"%company_name credit limit updated","Limit kredytowy firmy %company_name został zaktualizowany"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name chce się z tobą podzielić tą listą życzeń z %store_name:"
"%customer_name,","%customer_name,"
"%fieldName is required. Enter and try again.","Pole %fieldName jest wymagane. Uzupełnij i spróbuj ponownie."
"%name,","%name,"
"%operation_name - Scheduled Export Failed","%operation_name - według harmonogramu exportu nie powiodło się"
"%operation_name - Scheduled Import Failed","%operation_name - zaplanowany import nie powiódł się"
"%s SKU(s) processed successfully","%s SKU(s) pomyślnie przetworzone"
"%s of %s selected","wybrano % z %"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender wysłał kartę podarunkową do użycia tu <a href=""%store_url"">%store_name</a> i jest gotowa do wykorzystania na zakupy."
"%sender_name wants to share this product with you:","%sender_name chce się z tobą podzielić tym produktem:"
"%store_name  - Scheduled Import Failed","%store_name - zaplanowany import nie powiódł się"
"%store_name - Scheduled Export Failed","%store_name - zaplanowany eksport nie powiódł się"
"%store_name offers limited time sales of products only to members.","%store_name oferuje ograniczony czas sprzedaży produktów tylko dla członków."
"'%1' file extension is not supported","rozszerzenie pliku '%1' nie jest obsługiwane"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' zdaje się być nazwą hosta DNS ale zawiera kreskę w niewłaściwym miejscu."
"'%value%' does not look like a valid local network name.","'%value%' nie wygląda jak nazwa sieci lokalnej."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' wygląda jak nazwa hosta DNS, ale nie można wyodrębnić części TLD."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' wygląda jak nazwa hosta DNS ale zawiera kreski w nieprawidłowej pozycji."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' wygląda jak nazwa hosta DNS, ale nie można dopasować go do schematu nazwy hosta dla TDU '%tld%'."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' wygląda jak nazwa sieci lokalnej, która ma nie dopuszczalny format."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' wygląda jak adres IP, który ma niedopuszczalny format."
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - pasuje do wszystkiego; 'xyz*' - pasuje do wszystkiego co zaczyna się od 'xyz' i nie jest dłuższe niż %1 się."
"'Action Details - #' .","'Szczegóły akcji - #'."
"'Entity type model must be an instance of ' .","'Typ modelu musi być instancją ' ."
"'Gateway error: ' .","'Błąd bramki: ' ."
"'Object is not instance of ' .","'Obiekt nie jest instancją klasy ' ."
"'category_id' only supports 'eq' condition type.","'category_id' wspiera tylko typ warunku 'eq'."
"'search' or 'filter' input argument is required.","Uzupełnienie argumentu 'search' lub 'filter' jest wymagane."
"(Allow)","(Zezwalaj)"
"(Copy data from: %1)","(Kopiuj dane z: %1)"
"(Deny)","(Zabroń)"
"(Excl. Tax)","(netto)"
"(Incl. Tax)","(brutto)"
"(Track)Suit Up!","Wskakuj w dres!"
"(free","(za darmo"
"(me)","(ja)"
"(no data)","(brak danych)"
"(now)","(teraz)"
"* - Enter custom price excluding tax","* - Wprowadź własną cenę netto"
"* - Enter custom price including tax","* - Wprowadź własną cenę brutto"
"* Required Fields","* pola wymagane"
"* applicable to visitors and registered customers","* dotyczy Gości i zarejestrowanych klientów"
", %1 failed to update",", %1 nie udało się zaktualizować"
", %1 successfully updated",", %1 pomyślnie zaktualizowano"
"- Duplicated","- Duplikat"
"-- All --","--Wszystkie--"
"-- First Please Select a Website --","-- Najpierw proszę wybrać witrynę --"
"-- No Theme --","--Nie ma templatki--"
"-- None --","-- Żaden --"
"-- Please Select --","-- Prosimy wybrać --"
"-- Please Select Billing Agreement--","-- Prosimy wybrać umowę rozliczeniową --"
"-- Please select --,--Wybierz--
-- Please Select a Category --""","-- Prosimy wybrać kategorię --"
"-- Select --","--Wybierz--"
"--Please Select--","--Proszę wybrać--"
"1 Hour","1 godz."
"1 column","1 kolumna"
"1 item","1 element"
"1 item in wish list","1. produkt na liście życzeń"
"1 product available in filter","1 produkt dostępny w filtrze"
"1 star","1 gwiazdka"
"10 by default. Max - 10000","10 domyślnie. Max - 10000"
"10 minutes","10 minut"
"10% Off, Only This Weekend","10% zniżki, tylko w ten weekend"
"12 Hours","12 godz."
"12h AM/PM","12h przed/po południu"
"15 minutes","15 minut"
"2 Day","Dzień"
"2 Hours","2 godz."
"2 columns with left bar","2 kolumny z lewym paskiem"
"2 columns with right bar","2 kolumny z prawym paskiem"
"2-pixel perimeter around the header space.","2-pikselowa odległość naokoło przestrzeni nagłówka."
"20 minutes","20 minut"
"24 Hours","24 godz."
"24h","24 godz."
"2YTD","Od dwóch lat"
"3 columns","3 kolumny"
"30 minutes","30 minut"
"3D Secure Verification","3D bezpieczna weryfikacja"
"3D Secure Verification Settings","Ustawienia bezpiecznej weryfikacji 3D"
"5 minutes","5 minut"
"503 Service Unavailable","503 Usługa niedostępna"
"6 Hours","6 godz."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Dowiedz się więcej</a>."
"<a href=%unsubscription_url"">Unsubscribe</a> from these notifications.""","<a href=""%unsubscription_url""> rezygnacja</a> z powiadomień."
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>O nas</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=%url_customer_service>Obsługa Klienta</a>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Błąd 404</h1><p>Strona nie została odnaleziona.</p>"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> Data zamówienia:</span> %1"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span>Produkt(y) wymagające sprawdzenia: <span id=""sku-attention-num"">%1</span></span>"
"<span>Item %1</span> of %2","<span>Produkt %1</span> %2"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 produktów</strong> zostało znalezionych przy pomocy następujących kryteriów"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 produktów</strong> zostało znalezionych przy pomocy następujących kryteriów"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uwaga</strong>: Captcha bierze pod uwagę wielkie i małe litery."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>uzyskaj więcej statystyk z Magento Business Intelligence</strong>"
"A PDF object is not specified.","Obiekt PDF nie został określony."
"A PDF page object is not specified.","Strona obiektu PDF nie została określona."
"A block identifier with the same properties already exists in the selected store.","Identyfikator bloku o tych samych właściwościach już istnieje w wybranym sklepie."
"A case that has been resolved and close requires a reimbursement.","Sprawa zakończona i zamknięta wymaga zwrotu kosztów."
"A class with the same name already exists for ClassType %1.","Klasa o tej samej nazwie już istnieje dla ClassType %1."
"A confirmation request has been sent.","Prośba o potwierdzenie została wysłana."
"A consumer having the specified key does not exist","Użytkownik o okreslonym kluzu nie istnieje"
"A consumer with the ID %1 does not exist","Klient z ID %1 nie istnieje"
"A customer with the same email already assigned to company.","Klient z tym samym adresem e-mail jest już przypisany do firmy."
"A form modifier with name ""%1"" already exists","Modyfikator formularza o nazwie ""%1"" już istnieje."
"A form modifier with name %1"" already exists""","Modyfikator formularza o nazwie „%1” już istnieje"
"A group with the same name already exists.","Grupa o takiej samej nazwie już istnieje"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Zgrupowane produkt składają się z wielu, samodzielnych produktów, które są przedstawiane jako Grupa. Można oferować odmiany pojedynczego produktu lub grupy przez stworzenie skoordynowanego zestawu czasu lub temat. Każdy produkt można nabyć oddzielnie lub jako część grupy."
"A hold action is not available.","Akcja odblokowania jest niedostępna."
"A joined field with this alias is already declared.","Połączone pole z podanym aliasem zostało zadeklarowane wcześniej."
"A letter with further instructions will be sent to your email.","Mail z dalszymi instrukcjami zostanie wysłany na Twój adres e-mail."
"A login and a password are required.","Login i hasło jest wymagane."
"A match of the Shipping Address City, State, and Postal Code failed.","Nie udało się dopasować adresu wysyłki: miasta, ulicy i numeru pocztowego."
"A name is required.","Nazwa jest wymagana."
"A payer is not identified.","Zleceniodawca nie jest zidentyfikowany."
"A positive or negative non-decimal number please","Proszę o liczby dodatnie lub ujemne, nie dziesiętne"
"A product type is not defined for the indexer.","Typ produktu nie jest zdefiniowany dla indeksowania."
"A quantity of %1 is greater than you can return.","Liczba %1 jest większa niż liczba przedmiotów, które możesz zwrócić."
"A quantity you're trying to add exceeds the number of products we shipped.","Ilość którą próbujesz dodać przekracza liczbę wysyłanych przez nas produktów."
"A request for a shipping quote has been sent. After the quote, you will receive an email with information","Wysłano zapytanie o wycenę wysyłki spedycją. Po wycenie otrzymasz maila z informacją"
"A row with this email, website, and finance website combination already exists.","Wiersz posiadający kombinację tego adresu e-mail, strony oraz strony finansowej już istnieje."
"A server error stopped your order from being placed. Please try to place your order again.","Błąd serwera uniemożliwił realizację zlecenia. Proszę spróbuj ponownie."
"A shipping selection is not applicable.","Wybór dostawy jest niedostępny."
"A token with consumer ID %1 does not exist","Token z identyfikatorem konsumenta %1 nie istnieje"
"A token with consumer ID 0 does not exist","Token z identyfikatorem konsumenta 0 nie istnieje"
"A total of %1 record(s) have been deleted.","Usunięto %1 rekordów."
"A total of %1 record(s) have been disabled.","W sumie %1 rekordy zostały wyłączone."
"A total of %1 record(s) have been enabled.","W sumie %1 rekordy zostały wyłączone."
"A total of %1 record(s) have been marked as Read.","W sumie %1 rekord(y) zostały oznaczone jako przeczytane."
"A total of %1 record(s) have been updated.","Zaktualizowano %1 rekordów."
"A total of %1 record(s) were deleted.","Usunięto %1 wpis(ów)."
"A total of %1 record(s) were updated.","(%1) wpisów zostało zaktualizowanych."
"A total of %1 synonym group(s) have been deleted.","W sumie usunięto %1 grup synonimów."
"A user or a team cannot be moved under itself.","Użytkownik lub zespół nie może zostać przesunięty pod siebie samego."
"A user with the same user name or email already exists.","Użytkownik o takiej nazwie użytkownika lub adresie e-mail już istnieje."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Użytkownik o tym adresie email już istnieje w systemie. Wprowadź inny adres email celem stworzenia nowego użytkownika."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Użytkownik z tym adresem email już istnieje w systemie. Jeżeli będziesz kontynuować, użytkownik zostanie powiązany z Twoją firmą."
"A user with this email address is already a member of your company.","Użytkownik o tym adresie email jest już członkiem twojej organizacji."
"A word by itself is easy to guess","Pojedyncze słowo jest łatwe do odgadnięcia"
"A wrong PayPal Express Checkout Token is specified.","Zły PayPal Express Checkout Token jest określony."
"ALL","WSZYSTKIE"
"ALL GROUPS","WSZYSTKIE GRUPY"
"AM","przed południem"
"API","Interfejs API"
"API Authentication Methods","Metody autentykacji API"
"API Certificate","Certyfikat API"
"API Login ID","ID logowania API"
"API Password","Hasło API"
"API Signature","Podpis API"
"API Username","Nazwa użytkownika API"
"API Uses Proxy","Proxy użytkownika API"
"API interfaces reflection data","Interfejsy API refleksji danych"
"AVS Response","Odpowiedź AVS"
"AVS Street Does Not Match","Droga AVS nie pasuje"
"AVS Zip Does Not Match","Zip AVS nie pasuje"
"AVS result code","Kod wyników AVS"
"Abandoned Cart","Porzucone koszyki"
"Abandoned carts","Porzucone koszyki"
"Ability for buyer to purchase without PayPal account.","Możliwość kupowania bez posiadania konta PayPal"
"About Us","O nas"
"About Your Invoice","O twojej fakturze"
"About Your Order","Informacje o zamówieniu"
"About Your Refund","O twoim zwrocie"
"About Your Shipment","O twojej dostawie"
"About the calendar","O kalendarzu"
"Accept Cookies","Akceptuj pliki cookie"
"Accept Payment","Akceptuj płatność"
"Accept Rate","Zaakceptuj stawki"
"Accept Terms","Akceptuj Regulamin"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Przyjmuj płatności kartą lub przez PayPal w twoim sklepie Magento.<br/> Zero konfiguracji oraz opłat, a twoi klienci nigdy nie opuszczą strony sklepu by dokonać zakupu."
"Accept or Deny Payment","Akceptuj lub odrzuć płatność"
"Accept payments with a completely customizable checkout page.","Akceptuj płatności z w pełni modyfikowalną stroną zamówienia."
"Acceptance Mark","Znak akceptacji"
"Acceptance Mark Image","Obrazek znaku akceptacji"
"Accepted","Akceptowane"
"Accepted Currency","Akceptowana waluta"
"Accepted and Purchased","Zaakceptowane i zakupione"
"Access Denied.","Dostęp zabroniony."
"Access ID","Identyfikator dostępu"
"Access Key","Klucz dostępu"
"Access Restriction","Ograniczenie dostępu"
"Access Token","Token dostępu"
"Access Token Secret","Sekretny tokenu dostępu"
"Access list","Dostęp do listy"
"Access token has been revoked","Token dostępu został odwołany"
"Account","Konto"
"Account &amp; Shipping Information","Konta &amp; i informacje o wysyłce"
"Account Activity","Aktywność na koncie"
"Account Created in","Miejsce utworzenia"
"Account Created in:","Miejsce utworzenia:"
"Account Created on (%1):","Miejsce utworzenia (%1):"
"Account Created:","Konto założone:"
"Account Dashboard","Panel konta"
"Account ID","Identyfikator konta klienta"
"Account Information","Informacje o koncie"
"Account Lock","blokada konta"
"Account Lock:","Blokada konta:"
"Account Number","Numer konta"
"Account Setting","Ustawienia konta"
"Account Sharing Options","Opcje udostępniania konta"
"Account Status","Status konta"
"Account type","Typ konta"
"Account-to-Account Payment, initiated by PayPal","Płatność konto-do-konta, zainicjowana przez PayPal"
"Action","Operacja"
"Action Details - #","'Szczegóły akcji - #'"
"Action Group","Działania grupy"
"Action Log","Dziennik działań"
"Action Logs","Dziennik działań"
"Actions","Operacje"
"Actions for Acquiring Reward Points by Customers","Akcje do zdobywania punktów lojalnościowych przez klienta"
"Activate","Aktywuj"
"Active","Aktywny"
"Active filtering","Włączony filtr"
"Actual Children Count","Aktualna liczba dzieci"
"Actual Level","Rzeczywisty poziom"
"Actual Price","Aktualna cena"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter musi być instancją Mage\ImportExport\Model\Import\Adapter\AbstractSource"
"Add","Dodaj"
"Add All To Gift Registry","Dodaj wszystko do rejestru prezentów"
"Add All to Cart","Dodaj wszystko do koszyka"
"Add Amount","Dodaj kwotę"
"Add Attribute","Dodaj cechę"
"Add Attribute Set","Dodaj zestaw cech"
"Add CMS Block","Dodaj blok CMS"
"Add Catalog Event","Dodaj zdarzenie katalogu"
"Add Condition","Dodaj warunek"
"Add Credit Card","Dodaj kartę kredytową"
"Add Cross-Sell Products","Dodaj produkty"
"Add Date","Dodaj datę"
"Add Design Change","Dodaj zmianę wyglądu"
"Add Details","Dodaj szczegóły"
"Add Dynamic Block","Dodaj blok dynamiczny"
"Add Event","Dodaj wydarzenie"
"Add Gift Card","Dodaj kartę upominkową"
"Add Gift Card Account","Dodaj konto karty upominkowej"
"Add Gift Options","Dodaj opcje podarunków"
"Add Gift Options for Individual Items","Dodaj opcje podarunków dla poszczególnych przedmiotów"
"Add Gift Options for the Entire Order","Dodaj opcje prezentowe dla całego zamówienia"
"Add Gift Registry Type","Dodaj typ rejestru prezentów"
"Add Gift Wrapping","Dodaj opakowanie prezentu"
"Add Group","Dodaj grupę"
"Add Images into Sitemap","Dodawanie obrazów do sitemap"
"Add Invitations","Dodać zaproszenie"
"Add Invitee","Dodaj zaproszoną osobę"
"Add Item To Return","Dodaj produkt, który ma zostać zwrócony"
"Add Layout Update","Dodaj aktualizację układu"
"Add Link","Dodaj link"
"Add Locale","Dodawanie ustawień regionalnych"
"Add Minimum Qty","Dodaj minimalną ilość"
"Add New","Dodaj nowe"
"Add New %1","Dodaj nowy %1"
"Add New Address","Dodaj nowy adres"
"Add New Attribute","Dodaj cechę"
"Add New Attribute Set","Dodaj nowy zestaw cech"
"Add New Block","Dodaj blok"
"Add New Class","Dodaj nową klasę"
"Add New Company","Dodaj nową firmę"
"Add New Condition","Dodaj nowy warunek"
"Add New Customer","Dodaj klienta"
"Add New Customer Group","Dodaj grupę klientów"
"Add New Group","Dodaj grupę"
"Add New Image","Dodaj nowy obraz"
"Add New Images","Dodaj nowe obrazki"
"Add New Integration","Dodaj integrację"
"Add New Link","Dodać nowy Link"
"Add New Option","Dodaj nową opcję"
"Add New Page","Dodaj stronę"
"Add New Rate","Dodaj nowy przelicznik"
"Add New Rating","Dodaj nową ocenę"
"Add New Role","Dodaj rolę"
"Add New Row","Dodaj nowy rząd"
"Add New Rule","Dodaj regułę"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
"Add New Tax Class","Dodaj nową klasę podatkową"
"Add New Tax Rate","Dodaj nową stawkę podatku"
"Add New Tax Rule","Dodaj regułę dla podatku"
"Add New Template","Dodaj nowy szablon"
"Add New URL Rewrite","Dodaj nowe przekierowanie URL"
"Add New User","Dodaj użytkownika"
"Add New Variable","Dodaj zmienną"
"Add Node...","Dodawanie węzła..."
"Add Option","Dodaj opcję"
"Add Package","Dodaj paczkę"
"Add PayPal as an additional payment method to your checkout page.","Dodaj PayPal jako dodatkową metodę płatności do strony zamówienia."
"Add Price","Dodaj cenę"
"Add Printed Card","Dodawanie karty drukowanej"
"Add Product","Dodaj produkt"
"Add Product By SKU","Dodaj produkt po SKU"
"Add Product To Websites","Dodaj produkty do witryn"
"Add Product by SKU","Dodaj produkt przez SKU"
"Add Products","Dodaj produkty"
"Add Products By SKU","Dodaj produktu po SKU"
"Add Products Manually","Dodaj produkty ręcznie"
"Add Products to Group","Dodawanie produktów do grupy"
"Add Products to New Option","Dodawaj produkty do nowych opcji"
"Add Products to Option","Dodaj produkty do opcji"
"Add Products to Order","Dodaj produkty do zamówienia"
"Add Products to Package","Dodaj produkt do pakietu"
"Add Registrant","Rejestrujący"
"Add Related Products","Dodaj produkty"
"Add Reward Points","Dodaj punkty lojalnościowe"
"Add Root Category","Dodaj kategorię bazową"
"Add Row","Dodaj wiersz"
"Add Rule","Dodaj regułę"
"Add Scheduled Export","Dodaj zaplanowany eksport"
"Add Scheduled Import","Dodaj zaplanowany import"
"Add Secret Key to URLs","Dodaj sekretny klucz do URL"
"Add Segment","Dodaj segnemt"
